;charada
803;O que é um pontinho amarelo no oceano? O Bob Esponja.
804;O que é que, quanto mais se cozinha, mais duro fica? O ovo.
805;Como se faz para comer um boi todo? É só comer um pedacinho de cada vez.
806;Qual a semelhança entre o Rio Grande do Norte e o fim do ano? Ambos tem Natal.
807;Qual é o cúmulo da sorte? Ser atropelado por uma ambulância.
808;Qual é o país que cabe na geladeira? O peru.
809;Com quem o Senhor Alfinete é casado? Com a Senhora das Dores.
810;Por que os burros se parecem com os livros? Ambos tem orelha.
811;Qual a diferença entre o porco e a rua? O porco tem lombinho e a rua tem lombada.
812;Qual é o nome da polícia que se olha no espelho? Polícia Civil.
813;O que o ovo novo falou para o ovo velho? Ovô.
814;O cinema estava cheio de cimento. Qual filme estava passando? Nenhum. O cinema estava em construção.
815;O que não tem no mundo e tem no mar? A letra R.
816;Por que os pintores e as costureiras têm que passar pelo purgatório quando morrem? Porque eles pintam e bordam.
817;Por que a fruta cai do pé? Porque não tem escada para descer.
818;O que o dente falou para broca? Não vai furar comigo.
819;O que a moeda disse para a nota? Um dia você vai ser como eu.
820;O que são 2 pontinhos azuis no jardim? É uma Blueblueleta.
821;Um casal estava no ato sexual quando morreram. Qual o nome do filme? A Última Cruzada.
822;O que é um ponto roxo indo em direção a um ponto amarelo em cima da geladeira? Uma super ameixa indo salvar um fandangos suicida.
823;"""Oi Sabonete"". Qual o nome do Carro? Hilux."
824;O que são duas irmãs, uma no lado direito e outra no lado esquerdo, que escutam muito bem? As orelhas.
825;Qual é o nome do doce do Gusttavo Lima? Bala-da-boa.
826;O que a frigideira quente falou para o ovo? Você tá frito comigo.
827;O que é, o que é, duas irmãs da mesma idade, mas com diferentes habilidades? As mãos.
828;Quando alguém atira uma pedra no mar vermelho, como ela fica? Molhada.
829;O que é que tem dedos, mas não tem unhas? A luva.
830;Para que servem óculos verdes? Para verde perto.
831;O que é que da várias voltas, mas não sair do lugar? O relógio.
832;O que é, o que é. Tem um saco mole e um pau duro? Coador de café de pano.
833;O que é, o que é, quanto mais se perde, mais se tem? O sono.
834;O que é o que é. Vai até o fim do mundo sem sair do lugar? A letra O.
835;Qual é a única planta que tem pernas? A planta dos pés.
836;O que é, o que é. Nair tem na frente, Nando tem no meio e Cristian tem atrás? A letra N.
837;Por que o cachorro entrou na igreja? Porque a porta estava aberta.
838;Quem é o pai da padaria? O paistel.
839;Por que o tamanduá dorme enrolado sobre o próprio corpo? Pra acordar com a perna formigando.
840;O que é, o que é que quanto mais se enche, menor fica? A paciência.
841;O que é branco, da ponta vermelha e acaba na boca? O cigarro.
842;O que é, o que é que aguenta arrancar o dente sem anestesia? O alho.
843;O que é, o que é que cresce e depois encolhe? A mola.
844;O que a merda postou no Facebook? Tô saindo aqui.
845;O que é, o que é que deixa todo mundo ver através da parede? A janela.
846;Por que a chuva pegou o ônibus? Porque era chuva passageira.
847;O que é, o que é que não tem porta, nem janela, mas tem um monte de neguinho dentro? O Mamão.
848;O que é, o que é que cai de pé, mas não anda? A chuva.
849;O que é, o que é verde mas não é planta, fala mas não é gente? O papagaio.
850;O que é, o que é que tem olhos mas não vê, tem boca mas não fala, tem braços mas não abraça e tem pés mas não anda? A boneca.
851;O que é, o que é que passa pelo sol sem fazer sombra? O vento.
852;O que é, o que é que às vezes ouve mas não fala e as vezes fala mas não ouve? O telefone.
853;Como é chamado um navio feito no Paraguai? Navio Pirata.
854;Havia um bolo de nozes em cima da mesa e tinha um monte de mosca chegando. O que uma mosca falou pra outra? É noz moscada.
855;Qual é a única fêmea que tem pinto? A galinha.
856;Por que o anões gostam de ser hospitalizados? Para receberem alta.
857;Quem é o pai do carro? O painel.
858;Por que o anãozinho atravessa a rua correndo? Para pegar embalo para subir no meio fio.
859;Meu nome é João Vitor. Qual nome do filme? Meu nome não é Johnny.
860;O que é que começa na mata, vai a ponta da nuvem e termina no jardim? A letra M.
861;O que é que Luísa tem na frente, e Miguel tem atrás, as solteiras tem no meio e as casadas não tem mais? A letra L.
862;O que é que todos nós temos no meio da perna? A letra R.
863;O que é que vai e vem, sem sair do lugar? A porta.
864;Qual é o bicho sem osso e sem espinha? Minhoca.
865;O que é que, vê no escuro e não é gato, leva a vida a voar, tem lanterna, não é guarda e todos querem pegar? O vagalume.
866;Dizem que sou rei e não tenho reino, dizem que sou loiro e cabelos não tenho, dizem que ando mas não me movo, acerto relógios sem ser relojoeiro. O que sou? O Sol.
867;Qual é a coisa preferida do Pikachu? Pika Pika.
868;Como as testemunhas de jeová são chamadas no japão? Inxexion de xaco.
869;Qual é a marca do carro do Mogli? Wolfsvagen.
870;O que é, o que é. Na água não molha e no fogo não queima? A sombra.
871;O que falta no Rio para fazer frio? A letra F.
872;Por que a Dilma não sobe em árvore? Porque o José Serra.
873;Qual é o animal que veste o mecânico? O macacão.
874;O que uma pedra falou para a outra? A vida é dura.
875;O que é, o que é, que come deitado e caga sentado? Um preguiçoso.
876;Qual é o menor galinheiro do mundo? A camisinha. Porque só cabe 1 pinto.
877;Qual a semelhança entre o bêbado e a cobra? Os dois só andam arrastados.
878;O que são 3 pontinhos verdes no canto da sala? É uma ervilha de castigo e duas zombando da cara dela.
879;Qual é o condimento que os britânicos mais gostam? A Pimenta do Reino Unido.
880;Qual é o programa que o Pikachu usa para editar suas fotos? O Photo-choque.
881;O Jô Soares estava nadando no espaço sideral. Qual é o nome do filme? Jô nada nas estrelas.
882;Quantos lados tem a bola de futebol? Dois, o lado de dentro e o de fora.
883;Qual a semelhança entre o batom e a calça legging? Ambos servem para realçar os lábios.
884;Qual o queijo que mais sofre? O queijo ralado.
885;O que é preciso para que se possa apagar uma vela? Que ela esteja acesa.
886;Por que a abelha foi eletrocutada? Porque ela pousou em uma Rosa Choque.
887;O que é, o que é. Fica no meio da rua com as duas pernas viradas para cima? A letra U.
888;Por que o Albert Einstein fica mais forte quando viaja? Porque ele vira um Físico-Turista.
889;Qual é o nome de um legume que as bruxas comem? Couve de bruxelas.
890;Qual a semelhança entre ciúmes e Trident? Nunca admitimos que temos.
891;Qual a profissão que precisa de uma mãozinha para trabalhar? Manicure.
892;O que é um pontinho verde no Facebook? Uma pessoa online.
893;Como se tira da água uma pessoa que não sabe nadar? Molhada.
894;Seu pai está preso em uma ponte, de um lado tem um leão, do outro tem uma onça e embaixo vários tubarões. Como ele sai de lá? Pelo lado da onça, ela é pintada.
895;O que é que os meus amigos usam mais que eu? O meu nome.
896;Qual é a diferença entre uma pizza e a sua opinião? A pizza eu pedi.
897;O que tem folha mas não é árvore, tem arame mas não é cerca? Caderno.
898;O que todo mundo consegue abrir, mas ninguém sabe fechar? Ovo.
899;Quais são as capitais mais faladas no mês de Dezembro? Natal, Belém e Salvador.
900;Por que a vaca pulou no mar e se afogou? Para namorar o peixe boi.
901;O que é um pontinho marrom na feira? Um browncólis.
902;O que é um pontinho rosa no Pokémon? Um pinkachu.
903;O que é um pontinho preto na testa? Uma espinha de alguém que não toma banho.
904;Qual a rua onde os dias não passam? 25 de março.
905;O que a pipa de Benjamin Franklin fez com ele? O deixou em estado de choque.
906;Qual é a pedra que dança? Arrocha, arrocha, arrocha.
907;O que o boi faz quando o sol está batendo nele? Sombra.
908;O que tem pernas longas e deixa um rastro redondo? O compasso.
909;O Rio Amazonas está em qual estado? Líquido.
910;Por que as pessoas pedem autógrafo para o Sol? Porque ele é um astro.
911;Qual é a diferença do carpinteiro pro bebê? O carpinteiro quer boa madeira e o bebê quer mamadeira.
912;Por que a minhoca foi demitida? Porque ela estava fazendo corpo mole.
913;Qual a diferença entre o troco e o segredo? O troco se conta, o segredo não.
914;Por que o marido da Mulher Maravilha foi internado na clínica de reabilitação? Porque ele era viciado em heroína.
915;Como se diz Testemunha de Jeová em chinês? Ding Dong.
916;O que o chão disse para o tapete? Sai de cima que eu também quero ver.
917;Como se cumprimenta um monstro de duas cabeças? Oi, oi.
918;Quando o varal fica nu? Quando chove, porque as mães pedem pra tirar a roupa do varal.
919;Qual é a loja oficial do Fluminense? C&A. Porque a B eles pulam.
920;O que a manteiga disse para o café? Quando vejo esse negão eu me derreto toda.
921;O que uma exportadora e a sua opinião têm em comum? Nenhuma das duas importa.
922;Qual é o material de construção mais rápido do mundo? Massa corrida.
923;Como queimar 2000 calorias sem fazer exercícios? Esqueça a pizza no forno.
924;Qual é a operadora de telefonia do Kuduro? Oi, Oi, Oi.
925;Como se diz AIDS em japonês? Kukmata.
926;Qual é a letra que enxerga a outra? U V W.
927;Qual o estilo musical preferido das plantas? Samba de Raiz.
928;Por que o céu é azul? Porque Jesus nasceu menino. Se fosse menina, o céu seria rosa.
929;Como a esfirra era chamada antes de ter esse nome? Firra.
930;Por que a terra é virgem? Porque a minhoca é mole e o vento é fresco.
931;Por que os bebês de proveta nao podem ser humoristas? Porque eles nunca foram gozados.
932;Qual dos Cavaleiros da Távola Redonda é o mais redondo? O Sir Cunferência.
933;Por que os EUA tem poucas chances de ganhar no xadrez? Porque já perderam as duas torres.
934;Qual a parte do corpo que não possui matéria? Só-vácuo.
935;Quantos moleques cabem em uma circunferência? 2 pi raio.
936;Qual corte de carne bovina a Carla Peres come quando o marido dela não está em casa? Chã de fora.
937;Qual era o filme preferido de Steve Jobs? Kill Bill.
938;O que Stephen Hawking disse quando o computador dele estragou? Nada.
939;Comecei a fazer um churrasco, mas a carne começou a cantar funk. Qual o tipo de corte da carne? Mr. al-Catra.
940;O que é um são paulino dentro da geladeira? Um Gaytorade.
941;O que é vermelho e cheira à tinta azul? Tinta vermelha.
942;Por que o leite é integral? Porque deriva da vaca.
943;Por que o celular desempregado decidiu se mudar pra outra cidade? Porque ele estava em uma área sem serviço.
944;Qual é a música que vem da Bahia e é composta por minerais? Arrocha.
945;O que é branco por dentro, marrom por fora, e sangra? A mandioca. Não sangra? Então enfie ela na bunda pra ver!
946;O Alien não consegue estender as roupas no varal. Qual o nome do filme? Alien vs. Pregador.
947;O que é o que é, um pontinho amarelo no meio do deserto? Um camyellow.
948;O que é que nasce no rio, vive no rio, morre no rio, mas nem sempre está molhado? O carioca.
949;O que é o que é a mãe é verde, a filha é encarnada, a mãe é mansa e a filha é danada? Pimenta.
950;O que é o que é, uma caixinha de bom parecer, não há carpinteiro que saiba fazer? Amendoim.
951;O que é um pontinho preto correndo no mato? O noivo formiga fugindo do casamento.
952;O que é que quanto mais claro mais difícil fica de ser visto? Pupila.
953;Qual a semelhança entre o dinheiro e segredo? Os dois são difíceis de se guardar.
954;Por que a minhoca não quis beijar o minhoco? Porque não sabia se ali era a cara ou a bunda.
955;O que é que tem avião mas não é aeroporto, tem dinheiro mas não é banco? O terno do Silvio Santos.
956;Qual é o nome do jogo que Getúlio Vargas gostava, mas passou a odiar? Call of Dutra.
957;Sou uma ave bonita, tente meu nome escrever, leia de trás para a frente e o mesmo nome irá ver? Arara.
958;"O que é redondo, tem 21 dobrinhas e quando abre faz ""pssss""? A tampinha de garrafa."
959;Um menino matou 5 moscas e afirmou que eram 3 machos e 2 fêmeas. Como ele descobriu? 3 estavam na lata de cerveja, e 2 no telefone.
960;Qual é a diferença entre a fita adesiva e o avião? A fita adesiva cola e o avião decola.
961;O assento do avião estava cheio de vômito. Qual o nome do filme? Esqueceram Dramin.
962;Ele é magro pra chuchu, tem dentes mas nunca come e mesmo sem ter dinheiro, dá comida a quem tem fome? O garfo.
963;Qual é a diferença entre o papel higiênico e uma lixa de pedreiro? Passe os dois na bunda, o que te fizer gritar é a lixa.
964;Qual a semelhança entre as testemunhas de Jeová e os testículos? Andam juntos, mas ninguém os deixa entrar.
965;Qual é o meio de transporte que não faz curva? O elevador.
966;Qual a diferença entre o bebê e o marceneiro? O bebê gosta de mamadeira e o marceneiro não gosta de má madeira.
967;O que é um pontinho branco correndo pelo jardim? Uma formiga atrasada para o casamento.
968;Você tem 5 chocolates, mas um amigo lhe toma 1. Com quantos você fica? Com 5 chocolates e um cadáver.
969;O que o boi foi fazer no lago? Boiar.
970;O que é, o que é, tem boca, tem dente e chama atenção de muita gente? Sino.
971;Qual o meio de transporte que tem 6 motoristas, 1 passageiro, e só faz a viagem de ida? Caixão.
972;Como são chamados dois elefantes montando em uma bicicleta? Otimistas.
973;Qual é o felino mais velho do mundo? O tigre-de-bengala.
974;Por que a Igreja Católica vai finalmente deixar os padres casarem? Pra eles aprenderem como realmente é o inferno.
975;Por que o sapo entrou no computador? Para poder namorar com a memória Rã.
976;Por que o porco anda com a cabeça baixa? Porque tem vergonha da mãe que é uma porca.
977;Como se chama o perfume do japônes que nunca toma banho? Inhakaphura.
978;Como se chama o japonês que caiu no balaio de caqui? Massaro Kaki Kabunda.
979;Em que lugar a rainha da Inglaterra foi coroada? Na cabeça.
980;O que é o que é que chora até acabar? A vela.
981;Qual é o animal que dorme com os pés na cabeça? O piolho.
982;O que é de graça, mas tem que se pagar? O trabalho do palhaço.
983;O que deixa o jardim mais belo, a comida mais gostosa e o rosto mais feio? O cravo.
984;O que é que todos tem dois, mas você só tem um? A letra O.
985;Qual a semelhança entre o Neymar e o touch screen? Os dois são sensíveis ao toque.
986;O que é o que é, são irmãs gêmeas, moram uma ao lado da outra, mas nunca se viram? Orelhas.
987;O que uma parede disse para a outra? Vamos nos encontrar ali no cantinho.
988;Qual é a maior palavra do dicionário? Arroz. Pois vai de A à Z.
989;Por que a aranha precisa de você? Porque ela é um aracneedyou.
990;Onde o Super-Homem faz suas compras? No supermercado.
991;Ayrton Senna queria a Xuxa, morreu. Michael Jackson queria Xuxa, morreu. Qual o nome do filme? Pelé Eterno.
992;O que é o que é quatro em cima de quatro, esperando quatro, quatro não veio, quatro foi embora, e quatro ficou? É o gato em cima da mesa esperando o rato, mas o rato não veio.
993;Se você jogar uma pedra vermelha em um lago azul, como ela fica? Molhada.
994;O que nunca se come no café da manhã? O almoço e a janta.
995;Qual é o peixe que sempre é chamado pelo seu título de nobreza? Tu-barão.
996;O que é um pontinho verde pulando no sofá? Uma ervilha que saiu do castigo.
997;Por que o anão só surfa na cozinha? Porque lá tem microondas.
998;Qual é o super-herói mais religioso de todos? Clark Krente.
999;Qual o animal que faz sexo com as patas? Um pato pegador.
1000;Qual é o país que melhor sabe fazer café? É-cuador.
1001;Vila Belmiro lotada. Qual o nome do filme? 300.
1002;O que é que tem capa mas não é super-herói, tem folha mas não é árvore, tem orelha mas não é gente? O livro.
1003;O que enche uma casa mas não enche uma mão? O botão da camisa.
1004;O que o advogado da granja foi fazer na delegacia? Soltar a franga.
1005;Qual é o animal preferido do vampiro bêbado? A girafa.
1006;Onde o vampiro deposita suas economias? No banco de sangue.
1007;Quando os povos ameríndios comeram carne pela primeira vez? Quando chegou o Cristovão Colombo.
1008;Como você chama um pinguim com uma raquete pequena na mão? Pinguim-Pongue.
1009;Por que no inverno os pássaros voam para as regiões tropicais? Porque é muito longe para irem a pé.
1010;O que é o que é faz saltos sensacionais, mas nunca esteve em uma Olimpíada? O sapateiro.
1011;O que o laxante disse para a merda? Pede pra sair, 02!
1012;Qual a parte mais velha do carro? O vô-lante.
1013;O que é que é um palmo de nervo duro, nem é carne e nem é osso, quando está bem vermelhinho desce água pelo pescoço? Vela.
1014;O gaúcho não achava o seu carro no estacionamento. Qual o modelo do carro? Kadetche.
1015;O que tem duas rodas e dá leite? Uma vaca ciclista.
1016;Qual o jogador que desapareceu junto da inflação? Tostão.
1017;O que uma minhoca disse para a namorado dela? Você minhoquece.
1018;O que você deve fazer se encontrar um monstro verde? Correr, antes que ele amadureça!
1019;Por que o porco não gosta do mecânico? Porque ele aperta a porca.
1020;O que tem 40 cabeças e solta fogo? Caixa de fósforos.
1021;O que é que quando uma parte a outra parte logo em seguida? A Perna.
1022;Qual é o nome do confeiteiro chinês? Shanti Lee.
1023;Qual é a pior coisa que pode acontecer para um peixe de água doce? Ser diabético.
1024;O que é um pontinho vermelho pulando na feira? Um caqui-pererê.
1025;Se uma criança ganha 10 barras de chocolate e come 5 de uma vez, ela fica com...? Caganeira.
1026;Um homem soltou dois peidos em sequência. Qual é o nome do filme? Gás parzinho.
1027;Quem é a mãe do mingau? A mãezena.
1028;O que é um pontinho branco em cima do caminhão? Um arroz carreteiro.
1029;Qual é a diferença entre a bala de um revólver e um repórter? A bala faz o furo e o repórter procura o furo.
1030;Qual é a atriz que adora carboidratos? Juliana Pães.
1031;Qual é a diferença ente o Neymar e uma máquina de fazer garapa? O Neymar tem moicano e a máquina de fazer garapa mói cana.
1032;Qual é a diferença entre uma hambúrguer e uma piriguete? O hambúrguer nunca é 100% vaca.
1033;Preta Gil me chamou para sair. Qual o nome do filme? Arraste-me para o Inferno.
1034;A laranja foi ao médico com tosse seca e febre. Qual o diagnóstico? Larangite.
1035;O que é um pontinho rosa no salão de festas vazio? Um confete de ressaca.
1036;O que é que chega na frente da sua casa mas não entra? A calçada.
1037;Com o que se parece a metade de uma maçã? Com a outra metade.
1038;Quanto tempo demora para o oxigênio ionizar? Um ânion.
1039;O que é uma casinha sem porta e sem janela, lá dentro vivem duas donzelas, uma branca e outra amarela? O ovo.
1040;Qual o animal que faz os professores de inglês subirem pelas paredes? A lagarteacher.
1041;O que um poste disse para o outro? Essa fiarada toda é sua?
1042;Qual a quantidade de memória RAM tem a seleção de vôlei do Brasil? 1 Giba.
1043;Como os portugueses tiram leite de vaca? Um português segura as tetas, e mais quatro movem a vaca para cima e para baixo.
1044;Como se faz para reconhecer um viado caçando uma onça? Ele fica agachado esperando a pintada.
1045;Por que a salsicha espirra? Porque ela não é Sadia.
1046;"Depois de cagar no banheiro público o sujeito pão duro vê uma placa com os dizeres: ""Aqui não temos papel. Use uma nota de 1 real"". Mas ele só tem uma nota de 50, o que ele faz? Ele limpa com a de 50 e pega no lixo 49 notas usadas de 1 real de troco."
1047;Qual é a semelhança do professor e o termômetro? Algumas vezes eles dão zero.
1048;O que a água quente falou pro miojo? Comigo você não dura 3 minutos.
1049;Tinha quatro enxadas e uma foice. Quantas ferramentas tem? Três. Pois uma foice.
1050;O que é um pontinho branco no meio do mato? Uma noiva formiga se arrumando para o casamento.
1051;O que a mãe do Jason disse para ele na noite de quinta-feira 12? Vai dormir, porque amanhã você trabalha.
1052;Um gordo e um magro se jogam de um prédio. Quem chega no chão primeiro? O magro. Porque o gordo parou pra recuperar o fôlego.
1053;Qual o prato preferido dos gulosos? O prato bem cheio.
1054;O que é pequeno, quadrado e amarelo? Um pequeno quadrado amarelo.
1055;Qual é o doutor que virou drops? Dr. Halls.
1056;Qual a semelhança entre o cobertor de lã no verão, e o trem andando? Ambos estão fora da estação.
1057;Como saber se o homem é padre ou se é pastor? Coloque uma criança de um lado e dinheiro de outro...
1058;O que desce sorrindo e sobe chorando? O balde quando vai pegar água do poço.
1059;Qual galinha é mais esperta, a branca ou a preta? A preta, porque ela consegue botar ovo branco. Agora pede pra galinha branca botar ovo preto!
1060;Por que os japoneses são bons com computadores? Porque eles já nascem com um micro entre as pernas.
1061;O que é o que é abre as pernas para enfiar? O óculos.
1062;Qual é a hora preferida do afogado? A hora da bóia.
1063;O que a Dona Florinda falou para o Quico depois de saírem da suruba? Quico, não se misture com essa genitália!
1064;Como é possível comer um ovo sem você quebrar a casca? Pedindo para outra pessoa quebrar a casca.
1065;De que lado a galinha tem mais penas? Do lado de fora.
1066;O que a sanguessuga disse para o portador de HIV? Eu não queria estar na sua pele.
1067;Qual é a planta preferida do professor de matemática? Qualquer uma que tenha a raiz quadrada.
1068;O que e um pontinho preto no congelador? Um gelo fantasiado de Batman?
1069;Qual é o estado que vai dos números racionais aos irracionais? Pi ao I.
1070;Qual a atriz preferida das abelhas portuguesas? Mel Lisboa.
1071;O que aconteceu quando o dono da Faber Castell morreu? Todos os lápis ficaram desapontados.
1072;Qual é a diferença entre o ENEM e o Neném? Para fazer o ENEM deve usar a cabeça de cima a para fazer Neném deve usar a cabeça de baixo.
1073;O que acontece com os genes que violam a lei? Vão pra cadeia de DNA.
1074;O que é um pontinho rosa na garagem? Uma pinkap.
1075;O boi levou a vaca para o motel. Quem pagou a conta? Os dois, porque eles fizeram uma vaquinha.
1076;Qual é a semelhança entre o professor e o termômetro? Algumas vezes eles dão zero.
1077;O que a gente sempre faz em números romanos? XIXI.
1078;Como um português desinfeta a água? Ele joga a água do décimo andar para matar as bactérias!
1079;O que o zangão falou para a abelha? Chupa o mel!
1080;O que a segunda-feira falou para a sexta-feira? Já volto!
1081;O que é que se eu for no seu, você não vai no meu, e se você for no meu eu não vou no seu? Velório.
1082;O que a cocaína disse para o usuário? Como se eu fosse flor voce me cheira!
1083;O que a campainha falou pro dedo? Se me apertar eu grito!
1084;O que o martelo falou para o prego? Ai, se eu te prego. Ai, ai se eu te prego.
1085;O que o asfalto disse para o pneu? Você me racha, mas eu como sua rodinha.
1086;Qual a semelhança entre o lutador de boxe e o telescópio? Os dois podem fazer uma pessoa ver estrelas.
1087;O que é que a formiga tem de maior do que o leão? O nome.
1088;Por que o namoro da goiabada com o queijo não deu certo? Porque o queijo era fresco.
1089;Por que o boi baba? Porque ele viu a vaca de lingerie.
1090;Onde fica Cabo Verde? Na cueca do Hulk.
1091;O que é que o Brasil produz, e nenhum outro país sabe fazer? Brasileiros.
1092;Qual a brincadeira favorita do Sistema Binário? Zerinho ou Um.
1093;O que é branquinho, tem a mãe desdentada e o pai cantor? Ovo.
1094;Qual é a brincadeira preferida de Saturno? Passar o anel.
1095;O que aconteceu com a baleia que estava no meio do tiroteio? Ela foi baleiada.
1096;O que fica entre as pernas, começa com B, tem C no meio e termina com A? Bicicleta.
1097;Por que o Brasil não vai pra frente? Porque a capital é Brasília. Se fosse BMW, já seríamos primeiro mundo!
1098;Por que o anão não pode lutar boxe? Porque ele só dá golpe baixo.
1099;Por que não falta energia no quartel? Porque todo Cabo já foi Soldado.
1100;Quem é o dono da horta? O Seu Nôra.
1101;O que é um pontinho preto na história do Pinóquio? Gepreto.
1102;Qual é a dança preferida do boi? Boilero.
1103;Por que os peixes gostam tanto de comer? Porque eles estão sempre com água na boca.
1104;Qual animal faz sexo com as patas? O elefante, porque pisou fodeu!
1105;Qual o filme preferido dos políticos brasileiros? Eu Robô.
1106;O que o número 2 falou para o número 9? Você é grande, mas não é dois!
1107;O que está na boca das pessoas todos os dias, vem da terra e é de comer? Abobrinha.
1108;Você tem 3 chocolates, e seu amigo te pede um. Com quantos chocolates você fica? Com 3. O amigo que se foda!
1109;O que é amarelo, amarelo, laranja, laranja, vermelho, vermelho? Um pintinho dentro de um liquidificador ligado.
1110;Quantas ovelhas são necessárias para se fazer um casaco de lã? Só uma, desde que ela saiba tricotar.
1111;O que um esqueleto caipira disse pro outro? Ô sô!
1112;O que é que não se sabe por que, mas se sabe a resposta? Intuição.
1113;Como se obriga um homem a fazer abdominais? Coloque um controle remoto entre os dedos do pé dele.
1114;O que a peteca falou para galinha? Tenho pena de você.
1115;Como se chama uma freira viciada em jogos de azar? Católica Apostólica.
1116;Qual é o livro mais fino do mundo? Tudo o que os homens sabem sobre as mulheres.
1117;Por que os homens tem a consciência limpa? Porque nunca a usam...
1118;O que se deve dar a um homem que pensa que tem tudo? Uma mulher para ensiná-lo como funciona!
1119;Qual a diferença entre mama e seio? Seio é uma parte do corpo. Mama é uma ordem!
1120;Qual a semelhança entre a cólica e o fogueteiro? Ambos avisam quando o comando vermelho tá invadindo!
1121;Qual é o site mais limpinho da internet? sabo.net
1122;O que a ovelha mais nova disse para a ovelha mais velha? Ô velha.
1123;Qual é a panela que você usa quando está triste? De-pressão.
1124;Como se chama homem que não usa camisinha? Papai.
1125;Por que os cachorros lambem o saco? Porque eles conseguem.
1126;O que é que tem os olhos vermelhos e os pelôs branquinhos? Meu avô depois de fumar maconha.
1127;Por que o cavalo entrou em depressão? Porque descobriu que é um filho d'uma égua.
1128;Qual a música favorita do japonês punheteiro? Meu pintinho amarelinho, cabe aqui na minha mão...
1129;O que a prostituta falou para o palhaço? Você tá me gozando.
1130;Como se chama a plantinha que não enxerga nada? Acelga.
1131;Como se chama a rede social dos amigos imaginários? Fakebook.
1132;Qual o santo da choperia? Frei Caneca.
1133;"Por que a caminhonete da igreja bateu? Porque ela estava sem ""frei""."
1134;Qual a semelhança entre o Goku e um gripado? Goku é sayajin e o gripado sai-atchin.
1135;O que é um 69? São dois números 9 brincando de gira-gira no parquinho.
1136;Como se chama o animal que faz merda e põe a culpa nos outros? Cacatua.
1137;O cabeludo estava com piolhos e raspou a cabeça matando muitos, mas no final, só um sobreviveu. Qual o nome do filme? Eu Sou a Lêndea.
1138;O que o Lobisomem falou quando o viu o Tony Ramos nú? Papai!
1139;O que é um pontinho vermelho dançando na salada? Vina-Gretchen.
1140;O que a vaca foi fazer na casa do passarinho? Leite Ninho.
1141;Como se chama o lanche favorito do pastor alemão? Cachorro Crente.
1142;O caminhoneiro criou um Twitter. Qual o nome do programa? Siga Bem o Caminhoneiro.
1143;Por que o caminhão do frigorífico não consegue subir a ladeira? Porque elinguiça.
1144;O relógio cumprimentou a tora. Que horas são? Oi tora.
1145;O que é que cai de pé e corre deitado? Um Transformer.
1146;Por que a faxineira não luta karatê? Porque ela já luta capoeira.
1147;Qual a cantora que está vindo? Avril Lá-vem.
1148;O que é que tem a cabeça vermelha, entra duro e sai mole pingando? Pirulito.
1149;O que aconteceu com o marido da cigarra? Foi fumado.
1150;O que é shéu? É shó olhar pra shima.
1151;O que é um pontinho preto na estrada? Um calhamblack.
1152;Como uma pá comprimenta a outra? Opá.
1153;Qual é a expressão politicamente correta para se chamar uma lésbica? Vagitariana.
1154;Por que o martelo e a tesoura são hidrocarbonetos? Porque o martelo é pro-pino e a tesoura é pro-pano.
1155;Qual o alimento que tem muito dinheiro? Manje-ricão.
1156;Por que o porco mesmo morto continua feliz? Porque ele está de bacon a vida.
1157;O que de manhã pesa 500 quilos, a tarde pesa 200 quilos e a noite pesa 500 gramas? A mulher. De dia: Acorda tua Vaca. De tarde: Vai limpar a casa sua Porca. De noite: Vem aqui minha Pombinha.
1158;Como se faz para um Bis virar pão? Joga ele na água e ele vai virar bis-na-aguinha.
1159;O que é que o que é cai em pé e corre deitado? Uma minhoca pulando de paraquedas.
1160;O que tem asas mas não voa? Um avião sem combustível.
1161;O que o Faustão disse quando estava na floresta acompanhando a Chapeuzinho Vermelho? Ô lobo, meu!
1162;Se 1 é bom, 2 é pouco e 3 é demais, quanto seriam 4 e 5? 9.
1163;O que o homem tem acima da coxa, abaixo do umbigo e quando ele anda balança? As mãos.
1164;Como se faz pra transformar um suco em cobra? Basta fazer cócegas nele, e o suco-ri.
1165;Por que o Abominável Homem das Neve nunca vai ganhar na loteria? Porque ele é pé frio.
1166;Qual a roupa feminina que o Goku mais gosta? Saiyajeans.
1167;Por que o chuveiro não entrou para o exército? Porque ele não passou no teste de resistência.
1168;Por que a cenoura tem inveja da cebola? Porque ninguém chora por ela.
1169;O homem que não sabia conjugar no pretérito perfeito assaltou um banco. Qual o nome do filme? Eu Robô.
1170;O que o paraquedas disse ao paraquedista? Tô contigo e não abro!
1171;O que o Antônio e o anônimo são um do outro? São Antônimos
1172;O que é um pontinho amarelo em cima de uma moto? Ruffles, a batata da Honda.
1173;Qual é a diferença entre o casamento e a guerra? Na guerra você não precisa comer o inimigo.
1174;O que o nadador faz para bater o recorde? Nada.
1175;Um homem tinha um dragão treinado, mas o dragão nunca ouvia quando ele chamava. Qual é o nome do filme? A Má audição do Dragão.
1176;O que detestamos na praia e adoramos na panela? O caldo.
1177;O que é duro e segura o mole, o mole segura o torto, o torto segura o morto e o morto espera o vivo? Vara de pescar.
1178;Qual o nome do marido ideal pra Bruna Surfistinha? Bruno Mars.
1179;O que um rato brasileiro falou para um rato americano? Camon-dongo.
1180;Por que os bebês de proveta sempre se tornam pessoas humildes? Porque eles nunca foram metidos.
1181;O que o cachorro disse para o biólogo? Mi-tose.
